timestamp,container,cpu_perc,mem_mib
1769547302.773049,alice,1.54,25.57
1769547302.773049,bob,0.26,29.82
1769547302.773049,carol,0.17,25.42
1769547302.773049,dave,0.16,25.95
1769547302.773049,orchestrator,0.00,23.87
1769547305.8504868,alice,0.18,27.22
1769547305.8504868,bob,0.67,26.42
1769547305.8504868,carol,0.21,26.8
1769547305.8504868,dave,1.14,26.39
1769547305.8504868,orchestrator,0.53,17.11
1769547308.9400811,alice,0.16,27.18
1769547308.9400811,bob,0.92,26.55
1769547308.9400811,carol,0.18,27.1
1769547308.9400811,dave,0.99,26.4
1769547308.9400811,orchestrator,0.03,17.14
1769547312.036383,alice,0.27,27.07
1769547312.036383,bob,0.79,26.33
1769547312.036383,carol,0.25,27.06
1769547312.036383,dave,0.79,26.42
1769547312.036383,orchestrator,0.00,17.14
1769547315.1153474,alice,0.21,27.25
1769547315.1153474,bob,0.79,26.48
1769547315.1153474,carol,0.15,27.02
1769547315.1153474,dave,0.91,26.41
1769547315.1153474,orchestrator,0.00,17.14
1769547318.195414,alice,1.49,27.25
1769547318.195414,bob,1.92,26.83
1769547318.195414,carol,0.25,27.05
1769547318.195414,dave,1.04,26.4
1769547318.195414,orchestrator,0.37,17.45
1769547321.2734563,alice,1.51,27.31
1769547321.2734563,bob,1.08,26.52
1769547321.2734563,carol,0.12,27.11
1769547321.2734563,dave,0.83,26.16
1769547321.2734563,orchestrator,0.00,17.16
1769547324.3579743,alice,0.20,27.3
1769547324.3579743,bob,0.88,26.52
1769547324.3579743,carol,1.60,27.86
1769547324.3579743,dave,1.13,26.2
1769547324.3579743,orchestrator,0.46,17.16
1769547327.4377694,alice,0.21,27.21
1769547327.4377694,bob,0.80,26.35
1769547327.4377694,carol,0.14,27.2
1769547327.4377694,dave,0.76,26.2
1769547327.4377694,orchestrator,0.00,17.16
1769547330.5174956,alice,0.16,27.18
1769547330.5174956,bob,0.92,26.52
1769547330.5174956,carol,0.25,27.01
1769547330.5174956,dave,1.25,26.46
1769547330.5174956,orchestrator,0.00,17.16
1769547333.6013734,alice,0.25,27.12
1769547333.6013734,bob,1.11,26.29
1769547333.6013734,carol,0.19,27.11
1769547333.6013734,dave,0.92,26.32
1769547333.6013734,orchestrator,0.00,17.16
1769547336.6791122,alice,2.45,27.47
1769547336.6791122,bob,2.85,26.83
